"National Pokédex
number",English,Notes
127,Pinsir,"It likes to throw things with its massive horns. It can throw things 2x its weight. It was originally supposed to have an evolution called ""Plux"" in Generation II. Some speculated this unused design was reworked into Heracross. Pinsir appears as a tan-borwn bug, similar in a appearance to an earwig with its pinchers on its head, and a virtacle slit like mouth. It has a Mega Evolution thats even stronger."
128,Tauros,"Tauros, as its name implies, is a bull Pokémon that typically roams around grasslands in herds. Farmers tend to keep some on their lands. By whipping itself with its 3 tails, it charges at anything."
129,Magikarp,"Magikarp holds the distinction of being mostly useless in the games, until it evolves into the superior Gyarados. Magikarp is based on the common carp.[56] Despite its uselessness, some players like to raise their Magikarps up to level 100 just for fun. At level 20, if not evolved, Magikarp learns Tackle. Until then, it only knows Splash and cannot be taught any TMs or HMs."
130,Gyarados,"In the beta versions for Pokémon Red and Blue, Gyarados was originally named ""Skullkraken"". Gyarados is inspired by the myth of a carp jumping over the Dragon Gate. Its vicious and raging attitude can decimate cities. It originally had a completely different, more lamprey-like design in Red and Green's early development. It is known to be a hard Pokémon to raise by inexperienced trainers. The shiny version is red, and plays a role in the series. It appears normally as a long blue sea dragon, despite not being Dragon-type. It is also the only Flying type that doesn't fly but it can hover."
131,Lapras,"Lapras are known to have a very gentle nature ad they were hunted before it became illegal. Gigantamax Lapras is exclusive to Shield. Lapras is based on the Loch Ness monster and the plesiosaur. In the games, any Pokémon that uses Surf appears in the overworld as a Lapras or a Mantine."
132,Ditto,"The favorite Pokémon of Hideo Kojima,[70] Ditto is capable of transforming into any Pokémon it comes across. It was originally intended to have an evolution in Generation II, called ""Animon"", which it would have evolved from a Metal Coat. Fan speculation is that Ditto and Mew are related as Mew can also use Transform, a move exclusive to Ditto. In the anime, Ditto belonging to Duplica had an issue with accurately mimicking appearances where its face always looked like Ditto's own. It appears as a pink blob or amoeba."
133,Eevee,"Eevee is often considered among the ""cutest"" Pokémon in the franchise.[71][72][73][74] Because of this, Eevee is featured on various Pokémon-related merchandise.[75][76][77] Mascot of Pokémon: Let's Go, Eevee! Eevee has an exclusive evolution style, known a Eeveelutions, where each evolution requires special requirements to occur, and is available in almost all types, except Ghost, Dragon, Steel, and Flying."
134,Vaporeon,"When it's in water, it will seem to invisibly melt in water because its molecules are very similar to water. It evolves from Eevee using a Water Stone."
135,Jolteon,"Jolteon and Zapdos's romanized Japanese names are almost exactly the same as each other's, with a final 's' being the only difference. It evolves from Eevee using a Thunder Stone."
136,Flareon,"Flareon shares its category name with Charmeleon, Charizard, Moltres, and Infernape. They are all known as the Flame Pokémon. It evolves from Eevee using a Fire Stone."
137,Porygon,"Porygon has become notorious for being featured in an episode of the anime that caused widespread epileptic seizures in Japanese viewers.[78] It can be really helpful with scientists because since it can go in to cyberspace at will, it looks for malicious malware in computers. It is one of many human designed Pokémon."
138,Omanyte,A fossil Pokémon that must be revived from the helix fossil. It is based on ammonites.
139,Omastar,"Omastar is very popular in the community and commonly referred to as ""Lord Helix"". This is a reference to Twitch Plays Pokémon, where the Pokémon was seen as a good luck charm."
140,Kabuto,A fossil Pokémon that must be revived from the dome fossil. It is based on the trilobite.
141,Kabutops,"Its slender body makes it a very fast swimmer. Its appearance is similar to Scyther, with its blade like forearms."
142,Aerodactyl,A fossil Pokémon that must be revived from the old amber. It used to rule the skies back when it was alive. Now not even computers can't even revive it to make it what it used to look like. It is based on pterodactyls and dragons/wyverns.
143,Snorlax,"It is carefree about everything and it will allow children to play on its vast belly while it sleeps all day. After eating around 500 pounds of food, it goes flat to sleep for a while. Its appearance is a large, obese bear like Pokémon with blueish-green body and a white circle belly, white feet and face. In the games, it blocks the way forward, and can only be awoken with the PokeFlute."
144,Articuno,"It is part of the Legendary Bird Trio. The naming conventions for this trio are based on their type – Artic, Zap and Molt – along with a 1, 2, 3 in Spanish – uno, dos, tres. As it flies, snow drifts from its wings. It has a Galarian form that's a Psychic/Flying Type."
145,Zapdos,Its part of the Legendary Bird Trio. Design inspired by the Indigenous North American myth of the thunderbird.[22] Its Galarian form is a Fighting/Flying Type.
146,Moltres,Its part of the Legendary Bird trio. Design inspired by the firebird of Slavic folklore.[22] Its Galarian form is a Dark/Flying Type.
147,Dratini,IPeople never knew about it until a fisherman pulled it up after fishing for 10 hours straight. It appears as a blue serpentine creature with wings as ears. It has been seen to grow to several sizes in the anime.
148,Dragonair,"Dragonairs are longer in length, and bigger in size, than Dratinis, and can fly using an unknown power."
149,Dragonite,"A large orange dragon Pokémon that flies at high speeds. It zooms off over seas to challenge other Pokémon. It has been reputed to guide saliors in storms to the nearest land. Unlike Charizard, it actually is a Dragon in both appearance and type."
150,Mewtwo,"Legendary. One of the playable characters in Super Smash Bros. Melee, Super Smash Bros. for Nintendo 3DS / Wii U and Super Smash Bros. Ultimate. Its genes were spliced and restructured from Mew's. Its treatment from humans made it resentful and aggressive, before learning the error of its ways. It appears in several movies."
151,Mew,"Only available through Nintendo events. It can turn invisible at will and it can turn into anything at will. It is considered one of the original pregenetor Pokémon, as all Pokémon descend from Mew. It clashes with Mewtwo during the Pokémon movies."
None[nb 8],MissingNo.,"An error handler species, ""Missing Number"" was created to handle attempts at accessing nonexistent Pokémon species.[79][80] It is regarded as one of the most famous and popular glitches in video game history.[81] This ""Pokemon"" has led to several urban legends and creepypastas."
152,Chikorita,First grass starter to not be dual typed. It waves its leaf around to scare off foes but it also has a sweet smell to it. It loves to sunbathe.
153,Bayleef,"While Chikorita's and Meganium's designs were settled in 1997, Bayleef originally had a significantly different design.[6] The leaves around its neck hold a small shoot of a tree and they make people peppy."
154,Meganium,It is based on the Sauropod. Its flower now can soothe emotions and calm foes' combative spirits.
155,Cyndaquil,"A bit timid and shy, when startled or scared, flames start bursting from the back of Cyndaquil in defense. Its original design had spikes on the back and not fire. Its appearance is similar to a porcupine or hedgehog."
156,Quilava,"It rushes at foes with its gusts of hot air and fire to keep foes at bay. It is so nimble, it can even dodge while doing this. It is based on the Honey Badger."
157,Typhlosion,Typhlosion can create a shining haze of heat to obscure itself. It can also make large explosive blasts to incinerate everything.
158,Totodile,"Despite being small, Totodiles jaws are very powerful. It may think it is playing with its Trainer, but if not careful, it could cause very serious injuries."
159,Croconaw,"If it bites something, it will absolutely never let go. That's because its teeth are like barbed backfish hooks, making it almost impossible to remove."
